Beta_1,Beta_2,Category,RMSE,MAE,Polls
0.1,0.01,Overall,11.349628419426647,10.960289531310254,7088
0.1,0.01,Category A,11.358347140468164,10.974987995691999,2360
0.1,0.01,Category B,11.351347597871124,10.961343579582241,2362
0.1,0.01,Category C,11.33918223356937,10.944537018656519,2366
0.1,0.05,Overall,9.7193010856412,9.405879344658812,2681
0.1,0.05,Category A,9.792861362405867,9.485145906505414,893
0.1,0.05,Category B,9.767844528040905,9.453286756261784,896
0.1,0.05,Category C,9.596015860384885,9.279205371209247,892
0.1,0.1,Overall,9.456079030475479,9.147708624413488,1709
0.1,0.1,Category A,9.497344683288578,9.195594093700587,568
0.1,0.1,Category B,9.469728746834097,9.162313947946048,571
0.1,0.1,Category C,9.400902792816673,9.08521783159382,570
0.1,0.2,Overall,9.904016927549943,9.613563102254599,1060
0.1,0.2,Category A,9.940898623274968,9.649736927679692,352
0.1,0.2,Category B,9.846372846111722,9.557471700371273,352
0.1,0.2,Category C,9.924521663068257,9.633480678712827,356
0.1,0.3,Overall,9.095574082260946,8.788033125909989,822
0.1,0.3,Category A,9.208171009327112,8.904615128432303,273
0.1,0.3,Category B,9.059472122577967,8.7520911658455,274
0.1,0.3,Category C,9.017979550925553,8.707393083452168,275
0.3,0.01,Overall,3.5142665750559874,2.897142446617455,7172
0.3,0.01,Category A,3.479601186547912,2.90211251847067,2389
0.3,0.01,Category B,3.521616091018421,2.9054142159734906,2392
0.3,0.01,Category C,3.54129981387085,2.8839006054082046,2391
0.3,0.05,Overall,4.139757985542347,3.4886477520414725,2339
0.3,0.05,Category A,3.9936111677652177,3.349064229187311,779
0.3,0.05,Category B,4.235777399638681,3.583551787091668,783
0.3,0.05,Category C,4.18593456685553,3.5333272398454394,777
0.3,0.1,Overall,3.389317187462503,2.741227103851175,1434
0.3,0.1,Category A,3.4526617517256906,2.7999751578576495,478
0.3,0.1,Category B,3.4002226643767703,2.7511433525952453,482
0.3,0.1,Category C,3.3136121759365884,2.672562801100629,474
0.3,0.2,Overall,3.471958824057302,2.830911416121626,827
0.3,0.2,Category A,3.5397389415652407,2.898699931912525,275
0.3,0.2,Category B,3.427079043664257,2.78773422625774,277
0.3,0.2,Category C,3.4480243157338615,2.8063000901946134,275
0.3,0.3,Overall,3.1897571955430344,2.5902235917953793,567
0.3,0.3,Category A,3.2032180275066673,2.6003128246300657,190
0.3,0.3,Category B,3.1515780419185897,2.555484869209818,189
0.3,0.3,Category C,3.2141255441423846,2.6148730815462518,188
0.5,0.01,Overall,2.4308164043444362,1.9148919090436196,6949
0.5,0.01,Category A,2.330978170452258,1.8430170239657027,2318
0.5,0.01,Category B,2.4286509771304825,1.9149953113784008,2320
0.5,0.01,Category C,2.528794253206108,1.9866633917867573,2311
0.5,0.05,Overall,3.0146874504393137,2.4156858340170744,2227
0.5,0.05,Category A,2.916750957165424,2.3234261411770394,738
0.5,0.05,Category B,3.174844224798834,2.5556090274168084,749
0.5,0.05,Category C,2.945835921032424,2.368022333457375,740
0.5,0.1,Overall,2.728010239817128,2.2401771942913618,1343
0.5,0.1,Category A,2.6962968406398846,2.217743572319219,447
0.5,0.1,Category B,2.8063347724515375,2.297345162186313,453
0.5,0.1,Category C,2.679661937208885,2.2054428483685524,443
0.5,0.2,Overall,2.672031807205587,2.2150831358988503,717
0.5,0.2,Category A,2.617162763046963,2.180375570928356,239
0.5,0.2,Category B,2.7874102758467734,2.293163369584614,242
0.5,0.2,Category C,2.6076934179422366,2.171710467183581,236
0.5,0.3,Overall,2.5301501498732146,2.123605064627305,472
0.5,0.3,Category A,2.3845746181374925,2.036398734318892,164
0.5,0.3,Category B,2.360115528079637,2.0243407596888856,155
0.5,0.3,Category C,2.819332886936582,2.3100756998741385,153
0.7,0.01,Overall,2.0482306717607512,1.5756666025387185,6478
0.7,0.01,Category A,1.886614890426368,1.4532913004096464,2165
0.7,0.01,Category B,2.0326269450690027,1.5679818783003179,2165
0.7,0.01,Category C,2.212432736068026,1.7057266289061914,2148
0.7,0.05,Overall,2.626139224471495,2.122456898449434,2258
0.7,0.05,Category A,2.4529076658999873,1.9897817180150046,748
0.7,0.05,Category B,2.6983688967683697,2.1707994508835764,762
0.7,0.05,Category C,2.7187995436304893,2.206789526449722,748
0.7,0.1,Overall,2.8478928328990674,2.322260940248506,1252
0.7,0.1,Category A,2.751077645681886,2.254065064355151,417
0.7,0.1,Category B,2.817068208965826,2.2976402911949414,423
0.7,0.1,Category C,2.971056925825742,2.4150774651954254,412
0.7,0.2,Overall,2.5267600306359204,2.11198454992033,573
0.7,0.2,Category A,2.5003418246846048,2.0902908457914706,199
0.7,0.2,Category B,2.5256094647518053,2.1148424464704987,203
0.7,0.2,Category C,2.5540431375657437,2.130820357499021,171
0.7,0.3,Overall,2.6977287192678,2.2192703084467778,470
0.7,0.3,Category A,2.7537303067894916,2.255119109384185,169
0.7,0.3,Category B,2.6322776671429353,2.1770769467291586,161
0.7,0.3,Category C,2.705790902641306,2.22561486922699,140
0.9,0.01,Overall,1.6365621016028766,1.2039808483032837,6755
0.9,0.01,Category A,1.3842562579808249,1.0170078381441712,2255
0.9,0.01,Category B,1.5970097480516654,1.1787260930830492,2257
0.9,0.01,Category C,1.8890211788324014,1.4162086136826302,2243
0.9,0.05,Overall,2.71115379231267,2.149572520083601,2163
0.9,0.05,Category A,2.5570208065773015,2.019391991106265,724
0.9,0.05,Category B,2.774444421520675,2.19684522755994,728
0.9,0.05,Category C,2.795562090767739,2.2324803415846004,711
0.9,0.1,Overall,2.9154776669903653,2.348213485971652,1176
0.9,0.1,Category A,2.879037678729019,2.3164426755845526,401
0.9,0.1,Category B,2.934980789969606,2.357059189256763,396
0.9,0.1,Category C,2.932074331787439,2.3711385930736366,379
0.9,0.2,Overall,2.8015073293689348,2.279882671157834,498
0.9,0.2,Category A,2.727262243676647,2.2261070458938317,170
0.9,0.2,Category B,2.810830847144318,2.2834850955251205,168
0.9,0.2,Category C,2.8647164872778177,2.33005587205455,160
0.9,0.3,Overall,2.7502958990893993,2.24907244243875,583
0.9,0.3,Category A,2.6520270166321276,2.17765975686678,209
0.9,0.3,Category B,2.7625320267740343,2.25655914732859,204
0.9,0.3,Category C,2.833293507871175,2.3129984231208813,170
